proyecto_id,empresa,pais_id,pais,provincia_id,provincia,tipo_de_proyecto,fecha_inicio
10152,INMAC S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2015-04-27
105,INMEBA S.R.L.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2011-05-30
11555,INMEBA S.R.L.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2012-01-11
11522,INMEBA S.R.L.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2013-06-27
10843,INMEBA S.R.L.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2014-10-31
101,INMUNOVA S.A,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2011-06-03
64,INMUNOVA S.A,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2012-12-19
6769,INNOVA BUSINESS CONSULTING,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-05-29
7349,INNOVA SOLUCIONES INFORMÁTICAS S.R.L.,ARG,Argentina,50,Mendoza,Tecnología e Innovación,2010-03-29
8905,INNOVA SOLUCIONES INFORMÁTICAS S.R.L.,ARG,Argentina,50,Mendoza,Tecnología e Innovación,2011-11-29
13279,INNOVA SOLUCIONES INFORMÁTICAS S.R.L.,ARG,Argentina,50,Mendoza,Tecnología e Innovación,2013-10-24
34,INNOVAR S.R.L.,ARG,Argentina,74,San Luis,Tecnología e Innovación,2011-12-01
10855,INNTECH SOLUTIONS S.A.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2014-11-03
10782,INOXPLA INGENIERÍA S.R.L.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2014-07-03
12357,INPACO S.A.I.C E I.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2010-05-06
9003,INSIDE ONE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2008-11-13
10646,INSIDE ONE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-07-28
10496,INSIDE ONE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-10-07
9656,INSIDE ONE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-11-14
9795,INSIDE ONE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-11-14
10376,INSIDE ONE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2012-09-26
7833,INSIGNIA SRL,ARG,Argentina,90,Tucumán,Tecnología e Innovación,2013-08-07
6585,INSITE LATIN AMERICA S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-02-19
9794,INSSIDE SRL,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-10-07
48,INSTALAR D.G. S.R.L.,ARG,Argentina,50,Mendoza,Tecnología e Innovación,2013-07-18
10162,INSTALAR D.G. S.R.L.,ARG,Argentina,50,Mendoza,Tecnología e Innovación,2015-01-23
10109,INSTITUTO ASEGURADOR MERCANTIL CÍA. ARGENTINA DE SEGUROS S.A. I.,ARG,Argentina,02,CABA,Tecnología e Innovación,2015-02-26
8452,INSTITUTO BIOLOGICO ARGENTINO S.A.I.C,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-03-19
12355,INSTITUTO BIOLOGICO ARGENTINO S.A.I.C,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-03-30
12584,INSTITUTO BIOLOGICO ARGENTINO S.A.I.C,ARG,Argentina,02,CABA,Tecnología e Innovación,2012-02-14
8432,INSTITUTO BIOLOGICO ARGENTINO S.A.I.C,ARG,Argentina,02,CABA,Tecnología e Innovación,2012-05-03
12629,INSTITUTO BIOLOGICO ARGENTINO S.A.I.C,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-01-21
12789,INSTITUTO BIOLOGICO ARGENTINO S.A.I.C,ARG,Argentina,02,CABA,Tecnología e Innovación,2015-04-08
12006,INSTITUTO BIOLOGICO ARGENTINO S.A.I.C,ARG,Argentina,02,CABA,Tecnología e Innovación,2016-01-14
8503,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2007-01-19
9590,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2009-11-30
9045,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2009-11-30
8405,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2009-11-30
10505,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2011-01-18
12920,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2011-06-10
9041,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2012-02-06
10228,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2012-10-12
10947,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2013-06-25
8668,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2013-06-25
9058,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2013-08-13
11002,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2013-10-29
9061,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2014-02-03
8622,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2014-02-06
10888,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2014-07-01
10037,INSTITUTO DE AGROBI TECNOLOGIA DE ROSARIO,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2015-08-04
